Nomor_KK;Nama_KK;Longitudinal;Lattitude;Alamat_Asli
212411;Bejo;11.1;33.1;Jl Sidrap 1
411212;Rudini;11.1;33.2;Jl Sidrap 2
214214;Andi;11.2;33.1;Jl Sidrap 3
444222;Arsil;12.1;30;JL Mentoa 4
313313;Sitorang;12.1;30.1;JL Mentoa 5
212212;Sitompul;11.1;30;Jl Harahap 6
411411;Joko;11.1;30.1;Jl Harahap 7
114212;Probo;12.1;33.1;Jl Bantaeng 8
212114;Mega;11.2;30;Jl Harahap 9
412412;Wati;11.2;30.1;Jl Omnibus Law 10
333444;Robin;11.2;33.2;Jl Sidrap 11
232232;Hafidz;11.3;30;Jl Bunga Desa 12
114114;Ina;12.1;33.2;Jl Bunga Desa 13
252252;Rizal;12.2;30;Jl Mentoa 14
333444;Doni;12.2;30.1;Jl Harahap 15
111111;Budi;12.1;33.3;Jl Bantaeng 16
262626;Ismi;12.2;30.2;Jl Malaka 17
222222;Ali;11.3;33.1;Jl Buni 18
333333;Abdurrahman;12.2;32.9;Jl Bantaeng 19
343434;Widodo;12.2;33;Jl Bantaeng 20
